id	verdict	emitted	available	entity
PORTWATCH_DISRUPTIONS_DB	OK	132	132	
PORTWATCH_DAILY_REGIONAL	OK	10000	10000	
PORTWATCH_COUNTRIES_DB	OK	196	196	
PORTWATCH_MONTHLY_TRADENOW	OK	10000	10000	
PORTWATCH_DAILY_TRADE_WLD	OK	481	481	
PORTWATCH_CONTAINER_METRICS	OK	460	460	
PORTWATCH_PORTSFACTS	OK	540	540	
PORTWATCH_MARITIME_LINKS	OK	10000	10000	
QATAR_PSA_FACILITIES	OK	131	131	
QATAR_PSA_EDUCATION	OK	762	762	
QATAR_PSA_ARCHAEOLOGY	OK	9	9	
QATAR_PSA_RAIL	OK	112	112	
QATAR_PSA_MAJOR_ROADS	OK	10000	10000	
QATAR_PSA_FOREIGN_TRADE	OK	251	251	
QATAR_MME_FARMS	OK	1179	1179	
QATAR_MME_IZBAH	OK	5001	5001	
QATAR_MME_IZBAH_MOBILE	OK	966	966	
EAD_AIR_QUALITY_STATIONS	OK	20	20	
EAD_PROTECTED_AREAS	OK	21	21	
EAD_SPECIES_SIGHTINGS	OK	58	58	
EAD_GAZETTEER	OK	763	763	
TELAVIV_BUSINESSES	HTTP_571	0	0	
TELAVIV_BUILDING_PERMITS	HTTP_571	0	0	
TELAVIV_CELL_ANTENNAS	HTTP_571	0	0	
TELAVIV_ANTENNAS_PLANNED	HTTP_571	0	0	
TELAVIV_FUEL_STATIONS	HTTP_571	0	0	
TELAVIV_CONSTRUCTION_SITES	HTTP_571	0	0	
TELAVIV_MEDICAL_INSTITUTIONS	HTTP_571	0	0	
TELAVIV_DEFIBRILLATORS	HTTP_571	0	0	
TELAVIV_SCHOOLS	HTTP_571	0	0	
TELAVIV_CEMETERIES	HTTP_571	0	0	
TELAVIV_ATMS	HTTP_571	0	0	
ISTANBUL_OPENDATA_BULK	OK	552	552	
TAGINFO_KEYS_ALL	SLOW	0	0	
TAGINFO_TAGS_POPULAR	OK	14471	14471	
TAGINFO_TAG_COMBINATIONS	OK	34	34	petroleum_well
TAGINFO_KEY_PROJECTS	OK	15456	15456	operator
TAGINFO_RELATION_ROLES	OK	287	287	multipolygon
TAGINFO_KEY_SIMILAR	OK	1408	1408	operator
HOT_TASKING_MANAGER_PROJECTS	OK	140	140	
OPENAERIALMAP_IMAGERY	OK	300	300	
MAPROULETTE_CHALLENGES	OK	1000	1000	
ACMA_RRL_DEVICE_REGISTER	SLOW	0	0	
MINTIC_CO_MOBILE_SUBS	OK	346	346	
MINTIC_CO_FIXED_BROADBAND	SLOW	0	0	
MINTIC_CO_MOBILE_INTERNET	OK	420	420	
MINTIC_CO_UNIVERSAL_ACCESS	OK	1550	1550	
FCC_PROVIDER_LOOKUP	PARTIAL	21736	21737	
FCC_PROVIDER_TABLE_2021	OK	7398	7398	
FCC_GEOGRAPHY_LOOKUP	SLOW	0	0	
IMF_PORTWATCH_PORTS	PARTIAL	2055	2065	
IMF_PORTWATCH_CHOKEPOINT_DAILY	PARTIAL	9988	10000	
IMF_PORTWATCH_PORT_DAILY	OK	2790	2790	port1325
IMF_PORTWATCH_AIRPORTS	EMPTY_UPSTREAM	0	0	
IMF_PORTWATCH_FR24_AIRPORTS	EMPTY_UPSTREAM	0	0	
IMF_PORTWATCH_TRADE_REGIONAL	OK	10000	10000	
IMF_PORTWATCH_PORT_SPILLOVERS	OK	10000	10000	
FAA_ARCGIS_RUNWAYS	OK	5000	5000	
FAA_ARCGIS_NAVAIDS	OK	1383	1383	
FAA_ARCGIS_SPECIAL_USE_AIRSPACE	OK	1542	1542	
FAA_ARCGIS_MILITARY_TRAINING_ROUTES	OK	3654	3654	
FAA_ARCGIS_OBSTACLES	OK	5000	5000	
FAA_ARCGIS_US_AIRPORTS	OK	5000	5000	
AVIOWIKI_AIRPORT_SEARCH	OK	14	14	Frankfurt
OPENDATA_CH_CONNECTIONS	OK	160	160	Zurich
CO_PETROLEUM_RELEASES	OK	10000	10000	
DE_WELL_PERMITS	OK	10000	10000	
NS_ONSHORE_PETROLEUM_WELLS	TRANSPORT_FAIL	0	0	
AK_DNR_LAND_PERMITS_LEASES	OK	4207	4207	
AK_DNR_MINERAL_PERMITS_LEASES	OK	1989	1989	
AK_DNR_STATE_MINING_CLAIMS	OK	10000	10000	
AK_DNR_OIL_GAS_LEASE_SALE_TRACTS	OK	6299	6299	
AK_DNR_WELL_SITES	OK	11	11	
AK_DNR_LAND_TRESPASS_CASES	OK	125	125	
AK_DNR_RESOURCE_SALES	OK	952	952	
AK_DNR_WATER_WELL_LOGS	OK	10000	10000	
CA_CALGEM_WELLS	OK	10000	10000	
CA_CALGEM_NOTICES	OK	8765	8765	
CA_CALGEM_FACILITY_TANKS	OK	10000	10000	
CA_CALGEM_SURFACE_EXPRESSIONS	OK	59	59	
TX_RRC_PIPELINES	OK	10000	10000	
TX_RRC_WELL_LOCATIONS	OK	10000	10000	
RIKSDAG_SPEECHES	TRANSPORT_FAIL	0	0	
