id	url	observed_kind	run_rc	records	reason
co-sfc-puntos-atencion	https://www.datos.gov.co/resource/vkbt-desu.json?$limit=50	json-array	0	0	fetched and parsed, but the generic parser produced no intel row
co-superservicios-areas-prestacion	https://www.datos.gov.co/resource/cue8-zarw.json?$limit=50	json-array	0	0	fetched and parsed, but the generic parser produced no intel row
co-dnp-proyectos-datos-basicos	https://www.datos.gov.co/resource/cf9k-55fw.json?$limit=50	json-array	0	0	fetched and parsed, but the generic parser produced no intel row
co-ovcf-sgr-programacion-ingresos	https://www.datos.gov.co/resource/5ka2-and2.json?$limit=50	json-array	0	0	fetched and parsed, but the generic parser produced no intel row
co-ovcf-sgr-ejecucion-gastos	https://www.datos.gov.co/resource/qkv4-ek54.json?$limit=50	json-array	0	0	fetched and parsed, but the generic parser produced no intel row
co-bdua-regimen-subsidiado	https://www.datos.gov.co/resource/d7a5-cnra.json?$limit=50	json-array	0	0	fetched and parsed, but the generic parser produced no intel row
pe-gobpe-busquedas	https://www.gob.pe/busquedas.json?term=contrataciones&contenido=normas	json-object	0	0	fetched and parsed, but the generic parser produced no intel row
il-knesset-bill-initiator	https://knesset.gov.il/Odata/ParliamentInfo.svc/KNS_BillInitiator?$top=100&$format=json	json:value	0	0	fetched and parsed, but the generic parser produced no intel row
il-knesset-document-bill	https://knesset.gov.il/Odata/ParliamentInfo.svc/KNS_DocumentBill?$top=100&$format=json	json:value	0	0	fetched and parsed, but the generic parser produced no intel row
il-knesset-document-committee-session	https://knesset.gov.il/Odata/ParliamentInfo.svc/KNS_DocumentCommitteeSession?$top=100&$format=json	json:value	0	0	fetched and parsed, but the generic parser produced no intel row
il-knesset-document-query	https://knesset.gov.il/Odata/ParliamentInfo.svc/KNS_DocumentQuery?$top=100&$format=json	json:value	0	0	fetched and parsed, but the generic parser produced no intel row
il-knesset-person-to-position	https://knesset.gov.il/Odata/ParliamentInfo.svc/KNS_PersonToPosition?$top=100&$format=json	json:value	0	0	fetched and parsed, but the generic parser produced no intel row
il-knesset-law-binding	https://knesset.gov.il/Odata/ParliamentInfo.svc/KNS_LawBinding?$top=100&$format=json	json:value	0	0	fetched and parsed, but the generic parser produced no intel row
il-knesset-votes-header	https://knesset.gov.il/Odata/Votes.svc/View_vote_rslts_hdr_Approved?$top=100&$format=json	json:value	0	0	fetched and parsed, but the generic parser produced no intel row
il-knesset-mmm-documents	https://knesset.gov.il/Odata/MMM.svc/documents?$top=100&$format=json	json:value	0	0	fetched and parsed, but the generic parser produced no intel row
il-knesset-mmm-people	https://knesset.gov.il/Odata/MMM.svc/people?$top=100&$format=json	json:value	0	0	fetched and parsed, but the generic parser produced no intel row
sa-etimad-tenders	https://tenders.etimad.sa/Tender/AllSupplierTendersForVisitorAsync?PageSize=100&PageNumber=1	json:data	-1	0	collector errored
sa-etimad-agencies	https://tenders.etimad.sa/Tender/GetAllAgenciesAsync	json-array	-1	0	collector errored
sa-etimad-regions	https://tenders.etimad.sa/Tender/GetAreasAsync	json-array	-1	0	collector errored
qa-judges-at-courts	https://www.data.gov.qa/api/explore/v2.1/catalog/datasets/judges-serving-at-courts-by-job-title-nationality-and-gender0/records?limit=100	json:results	0	0	fetched and parsed, but the generic parser produced no intel row
qa-traffic-casualties-by-department	https://www.data.gov.qa/api/explore/v2.1/catalog/datasets/number-of-deaths-and-injuries-from-traffic-accidents-by-traffic-department-affected-person-location-and-gender/records?limit=100	json:results	0	0	fetched and parsed, but the generic parser produced no intel row
om-data-portal-search	https://data.gov.om/api/1.0/search?query=oman&host=data.gov.om	json:items	0	0	fetched and parsed, but the generic parser produced no intel row
in-mfapi-scheme-master	https://api.mfapi.in/mf	json-array	-99	-1	fetched and parsed, but the generic parser produced no intel row
hk-companies-registry-new-local-companies	https://www.cr.gov.hk/docs/wrpt/RNC063/RNC063L_20250303.csv	csv	0	0	fetched and parsed, but the generic parser produced no intel row
hk-licensed-security-companies	https://www.sb.gov.hk/datagovhk/sgsia/data_en.csv	csv	0	0	fetched and parsed, but the generic parser produced no intel row
ocha-fts-flow-2026	https://api.hpc.tools/v1/public/fts/flow?year=2026&limit=200	json:data.flows	-1	0	collector errored
ocha-fts-location	https://api.hpc.tools/v1/public/location	json:data	-1	0	collector errored
