id	verdict	shell_rc	sched_rc	emitted	stored	db_rows	available	secs	note
us-data-boston-gov-org-inspectional-services-department-org	OK	0	0	6	6	6	-1	2.0	
us-data-boston-gov-org-mayor-s-office-of-new-urban-mechanics	OK	0	0	2	2	2	-1	1.6	
us-data-boston-gov-org-office-of-budget-management	OK	0	0	4	4	4	-1	1.6	
us-data-boston-gov-org-mayors-office-of-housing	OK	0	0	2	2	2	-1	2.0	
us-data-boston-gov-org-office-of-economic-development-org	OK	0	0	3	3	3	-1	1.7	
us-data-boston-gov-org-office-of-human-resources-org	OK	0	0	1	1	1	-1	1.8	
us-data-boston-gov-org-office-of-the-parking-clerk-org	OK	0	0	1	1	1	-1	1.8	
us-data-boston-gov-org-parks-and-recreation	OK	0	0	3	3	3	-1	2.1	
us-data-boston-gov-org-procurement-org	OK	0	0	2	2	2	-1	1.7	
us-data-boston-gov-org-womens-advancement	OK	0	0	1	1	1	-1	1.7	
us-data-boston-gov-orgs	OK	0	0	45	45	45	-1	2.3	
us-data-boston-gov-tags	OK	0	0	991	991	991	-1	2.4	
sci-chembl-atc-class	OK	0	0	2000	2001	2001	-1	6.3	
sci-chembl-assay	OK	0	0	2000	2001	2001	-1	15.3	
sci-chembl-binding-site	OK	0	0	2000	2001	2001	-1	10.3	
sci-chembl-activity	OK	0	0	2000	2001	2001	-1	22.4	
us-socrata-metadata-nystate	OK	0	0	5353	5353	5353	-1	96.6	
sci-chembl-cell-line	OK	0	0	2000	2001	2001	-1	7.6	
sci-chembl-compound-record	OK	0	0	2000	2001	2001	-1	11.6	
gr-diavgeia-positions	COLLISION	0	0	25188	233	233	-1	36.7	24955 of 25188 emitted records collapsed onto an already-written uid (rule 4b). EITHER the declared id is a dimension, not a record key (real loss — fix id_keys) OR the upstream genuinely repeats identical records (correct dedupe — not a bug). This tool cannot tell which: fetch the url and compare distinct id values to record count before treating it as a defect
sci-chembl-drug-warning	OK	0	0	2000	2001	2001	-1	13.8	
