# Breach corpus seed (HIBP-style catalog snapshot). Columns: name<TAB>records<TAB>added<TAB>breach_date
# Records kept as-given (k/M/B suffixes); parser normalizes to integers. Lines starting with # are ignored.
# Authoritative refresh: scripts/fetch-breach-corpus.mjs pulls the full ~1,018 list from HIBP /api/v3/breaches.
name	records	added	breach_date
VimeWorld	3.1M	2024-10-30	2018-10
StreamCraft	1.8M	2024-10-27	2020-07
The Club Penguin Experience	6.3k	2024-10-26	2024-10
digiDirect	304.3k	2024-10-25	2024-09
Fair Vote Canada	134.3k	2024-10-21	2024-03
AlpineReplay	898.7k	2024-10-17	2019-08
Internet Archive	31.1M	2024-10-09	2024-09
Muah.AI	1.9M	2024-10-08	2024-09
Switch	5.4k	2024-10-05	2024-10
BudTrader	2.7M	2024-10-01	2024-06
Central Tickets	722.9k	2024-09-30	2024-07
GameVN	1.4M	2024-09-23	2016-05
HuntStand	2.8M	2024-09-19	2024-03
Instituto Nacional de Deportes de Chile	319.6k	2024-09-16	2024-09
Games Box	1.4M	2024-09-15	2020-09
Blooms Today	3.2M	2024-09-03	2023-11
Market Moveis	28.2k	2024-09-01	2023-08
Lookiero	5M	2024-08-30	2024-03
Sport 2000	3.2M	2024-08-28	2024-04
Traderie	364.9k	2024-08-25	2022-09
Tracki	372.6k	2024-08-19	2024-08
Explore Talent (August 2024)	8.9M	2024-08-19	2024-08
Chris Leong	27.1k	2024-08-13	2024-08
LDLC	1.3M	2024-08-13	2024-02
National Public Data	134M	2024-08-13	2024-04
Shadow	543.3k	2024-08-11	2023-09
Not SOCRadar	282.5M	2024-08-09	2024-08
Shoe Zone	46.1k	2024-08-05	2024-06
LuLu	2.8M	2024-08-02	2024-07
Multiplayer.it	504k	2024-08-01	2018-09
Stealer Logs Posted to Telegram	26.1M	2024-08-01	2024-07
AnimeLeague	192.1k	2024-07-31	2024-07
Ubook	699.9k	2024-07-30	2024-07
Spytech	5.6k	2024-07-30	2024-06
Condo.com	1.5M	2024-07-25	2019-06
Explore Talent (July 2024)	5.4M	2024-07-25	2022-02
Life360	442.5k	2024-07-20	2024-03
mSpy (2024)	2.4M	2024-07-11	2024-06
The Heritage Foundation	72k	2024-07-10	2024-07
Neiman Marcus	31.2M	2024-07-09	2024-04
Husky Owners	16.5k	2024-07-07	2024-07
FNTECH	10.4k	2024-07-06	2024-07
Date Hot Brunettes	1.5M	2024-07-04	2021-01
Ticketek	17.6M	2024-06-28	2024-05
Advance Auto Parts	79.2M	2024-06-24	2024-06
Zadig & Voltaire	586.9k	2024-06-17	2023-11
Combolists Posted to Telegram	361.5M	2024-06-03	2024-05
Operation Endgame	16.5M	2024-05-30	2024-05
pcTattletale	138.8k	2024-05-25	2024-05
Dota2	1.9M	2024-05-23	2016-07
The Post Millennial	57M	2024-05-10	2024-05
Tappware	94.7k	2024-05-09	2024-04
MovieBoxPro	6M	2024-04-30	2024-04
Piping Rock	2.1M	2024-04-26	2024-04
T2	94.6k	2024-04-22	2024-04
Le Slip Français	1.5M	2024-04-18	2024-04
Giant Tiger	2.8M	2024-04-12	2024-03
Salvadoran Citizens	947k	2024-04-10	2024-04
Kaspersky Club	56k	2024-04-09	2024-03
boAt	7.5M	2024-04-08	2024-03
